Ligand_SMILES	Target_Primary_ID	Kd
1	1	10.6228787452803
2	1	11.1
3	1	11.1
4	1	12.1
5	1	11.1
6	1	12.1
7	1	11.1
8	1	10.401029995664
9	1	10.8212463990472
10	1	10.6228787452803
11	1	10.0030899869919
12	1	11.9239087409443
13	1	10.401029995664
14	1	11.1
15	1	11.1
16	1	11.1
17	1	11.1
18	1	11.1
19	1	11.1
20	1	11.1
21	1	11.1
22	1	11.1
23	1	11.1
24	1	11.1
25	1	11.1
26	1	11.1
27	1	11.1
28	1	11.1
29	1	11.1
30	1	11.1
31	1	11.1268721464003
32	1	11.1268721464003
33	1	11.1268721464003
34	1	11.1268721464003
35	1	11.1268721464003
36	1	11.1
37	1	11.1
38	1	11.1
39	1	11.1
40	1	11.1
41	1	11.1
42	1	11.1
43	1	12.1
44	1	12.6850266520292
45	1	11.1
46	1	11.1
47	1	11.1
48	1	10.6228787452803
49	1	10.6228787452803
50	1	10.6228787452803
51	1	10.6228787452803
52	1	11.1
53	1	11.1
54	1	10.9239087409443
55	1	11.1874591172094
56	1	12.1
57	1	11.1
58	1	11.1
59	1	11.1268721464003
60	1	11.1
61	1	11.1
62	1	11.1268721464003
63	1	11.1
64	1	11.1
65	1	11.1
66	1	11.1
67	1	11.1
68	1	11.1
69	1	11.1
70	1	11.1
71	1	11.1
72	1	11.1
73	1	11.1
74	1	10.401029995664
75	1	11.1
76	1	11.1
77	1	10.401029995664
78	1	12.637602002101
79	1	11.1
80	1	10.401029995664
81	1	11.1
82	1	11.9794260687941
83	1	11.401029995664
84	1	10.5814860601221
85	1	10.5814860601221
86	1	10.5814860601221
87	1	10.5814860601221
88	1	10.5814860601221
89	1	10.5814860601221
90	1	10.5814860601221
91	1	10.5814860601221
92	1	10.5948500216801
93	1	10.5814860601221
94	1	10.5814860601221
95	1	10.5814860601221
96	1	10.5814860601221
97	1	11.1
98	1	12.2611509092627
99	1	10.0030899869919
100	2	11.5814860601221
101	2	11.1
1	2	11.1
102	2	11.1
103	2	11.1
104	2	11.1
105	2	11.6086383061657
106	2	11.1
107	2	11.1
108	2	14.7777807052661
109	2	11.1
110	2	12.4872161432803
111	2	11.637602002101
112	2	11.1
113	2	13.3757241303992
114	2	11.1
115	2	12.8695510786217
116	2	11.531798275933
117	2	11.8447274948967
118	2	11.1
119	2	11.1
120	2	11.1
121	2	11.1
122	2	11.1
123	2	12.531798275933
124	2	11.7575773191778
125	2	13.0208187539524
126	2	11.1
127	2	12.2426675035687
45	2	11.1
128	2	12.2487416512809
129	2	11.1
130	2	12.7197887582884
131	2	11.1
132	2	11.1
133	2	11.1
134	2	11.1
135	2	11.1
136	2	11.1
137	2	11.1
138	2	11.6850266520292
139	2	11.1
140	2	11.1
141	2	14.497940008672
142	2	12.4467874862247
143	2	11.1
144	2	11.1
145	2	12.2426675035687
146	2	12.1
147	2	11.1
148	2	11.1
149	2	15.1705810742857
150	2	11.1
151	2	11.1
152	2	11.1
153	2	11.8447274948967
154	2	11.4098943791442
155	2	11.1
156	2	11.1
157	2	11.1
158	2	12.0586073148418
159	2	11.1
160	2	11.1
161	2	11.1
162	2	11.1
163	2	12.7382721639824
164	2	11.1
165	2	11.1
166	2	11.1
167	2	11.1
100	3	11.9999984171987
101	3	11.9999984171987
168	3	11.9999984171987
169	3	11.9999984171987
170	3	11.9999984171987
4	3	11.9999984171987
171	3	11.1
172	3	11.1
173	3	12.1999990348465
174	3	12.1999990348465
175	3	11.9999984171987
176	3	13.8000570999772
177	3	11.9999984171987
178	3	11.1
179	3	11.9999984171987
180	3	14.2999706407559
181	3	11.9999984171987
182	3	11.8055337738384
183	3	13.7575773191778
112	3	11.9999984171987
184	3	11.6999993830236
185	3	11.9999984171987
113	3	11.9999984171987
186	3	11.9999984171987
187	3	11.9999984171987
188	3	11.9999984171987
189	3	13.2999706407559
190	3	13.9999742698921
191	3	13.6000381344038
192	3	12.4999969133723
193	3	11.9999984171987
194	3	11.9999984171987
195	3	12.3999976028577
